what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1314367944951
arch,sysinfo,,,"x86_64",1314367944951
ws,sysinfo,,,"gtk",1314367944951
locale,sysinfo,,,"zh_CN",1314367944951
processors,sysinfo,,,"4",1314367944951
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314367944951
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1314367944951
java.specification.name,sysinfo,,,"Java Platform API Specification",1314367944951
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314367944951
java.specification.version,sysinfo,,,"1.6",1314367944951
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314367944951
java.version,sysinfo,,,"1.6.0_26",1314367944951
java.vm.info,sysinfo,,,"mixed mode",1314367944951
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1314367944951
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314367944951
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314367944951
java.vm.specification.version,sysinfo,,,"1.0",1314367944951
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314367944951
java.vm.version,sysinfo,,,"20.1-b02",1314367944951
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1314367945422
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1314367945438
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1314367945449
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1314367945461
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1314367945480
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1314367945484
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1314367946507
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314367946817
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1314367946873
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1314367946974
started,bundle,org.eclipse.egit.core,1.0.0.201106090707-r,"org.eclipse.egit.core",1314367947006
started,bundle,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui",1314367947051
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1314367947112
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1314367947229
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314367947234
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1314367947313
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1314367947366
activated,perspective,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.CPerspective",1314367947433
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314367948695
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201106060936,"org.eclipse.linuxtools.cdt.autotools.core",1314367948840
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201106081058,"org.eclipse.cdt.build.crossgcc",1314367948897
error,log,,,"Invalid preference page path: XML Syntax",1314367950195
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1314367950253
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.gnu.ui",1314367953658
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314367953675
